artifact_id,size_bytes,sha256,role
checkpoint_ft1k_volume_1,419430400,ee91ba3a33ed6ee79c765d0463aadd0e5a4fd9c42f721f84b40e645fe12f1b95,FT1k archive volume 1
checkpoint_ft1k_volume_2,311547145,a63ba41c817ddb69d501cf3814c56313dcf76a6f9127e025a15a26e2c6e269f2,FT1k archive volume 2
checkpoint_ft5k_volume_1,419430400,61ea7cdea8e53cdde1b74f8191cf2285f2b93d0a525765c1a304745cdd92d53b,FT5k archive volume 1
checkpoint_ft5k_volume_2,311550900,ebb8a9fa892aa66398a7efc8a67abae73883d6d16b86eaa048c8be00e70922cb,FT5k archive volume 2
checkpoint_ft10k_volume_1,419430400,6bac3d57fa959f8f8a4f1ad88c72eb3b8c5d36f1685f1e6f6fef479fa6ef597c,FT10k archive volume 1
checkpoint_ft10k_volume_2,311554864,2059ca9af7a8e693c34070ebeb6eed8ad552e074f8b993151789f26ac621f578,FT10k archive volume 2
checkpoint_ft50k_volume_1,419430400,df49f6733a34a0f2f4676f3587ca24a533811425e2cdc56f6b08321a3ef634e9,FT50k archive volume 1
checkpoint_ft50k_volume_2,311573468,622c12ec89284bc253c03cca8c4d99bafa19847015fb6ee5dda642d5ba49509d,FT50k archive volume 2
historical_outputs_volume_1,419430400,2046cab6218c949a4ba71ea2d96c4a0b9ee4ba392f17a201eb552b53ae952d92,Historical output archive volume 1
historical_outputs_volume_2,330963158,9b6eae507548ba7f308e952c90cd503b9c7bbcc6d2a6b7eab1bcc3f3e7488e72,Historical output archive volume 2
